content,label
This game is absolutely splendid💗💗💗💗 no lag no ads what more could you want🥰🥰🥰🥰🥰 I recommend this to grandparents who need stress-relief games🥰🥰🥰 I as a responsible grandchild made my grandmother play this game and she got obsessed with it! she can't stop telling me to hop on Mobile Legends Bang Bang and play Brawl with her🥰🥰 This game helped me restore my bond with my dearest grandmother❤️❤️❤️,Positif
Mobile Legenda: B...,Netral
two words love itttt,Positif
its fun,Positif
it was so fun cause many hero we can use and to be pro we must ranking up our rank untill mythical immortal,Positif
good quality alot of heros many picks its a good game choice if u want a a challenge and honor of kings copies the other heros of ML,Positif
please retrieve my account pls,Netral
The match making sucks and all i get from my team are literal bots that are programmed to make me lose.And my internet is fine but still lagging not an exelent game this is trash all the reviews are bot,Negatif
the game is good but still have some dum*b players that make the game worst,Netral
its damn good i like the heroes,Positif
mlbb is a team work game.It is very fun but sometimes we met with dark system,Positif
best moba 5v5 game❤️‍🩹,Positif
one of the best mobile game,Positif
nice game moonton and I hope you make another give away skin epic😅,Positif
I like this app and I always wanted to have diamonds but I don't have one so I tried my best to get it thats why I love this app,Positif
"best game!! my friend, little brother and my old friend loves play this games forever, I rate 5/5 star, because is making me loving play not really I rage losing games, I interesting to this games forever, not really much, thank you so much mobile legends I love it! bye!🤟🤟",Positif
"I had the game some time ago, and I used to play it on my old phone, using the only Google account I had. Later, I bought a new phone and logged into with the same Google account. However, my friends in the game were not able to see me online. I searched for so many solutions on YouTube, and there was nothing effective. I thought I would install the game on another phone, use the same Google account, but it didn't work. I created another game profile, but there was a problem with switching.",Netral
why put attack speed on yss,Netral
#We Want Estes,Netral
moonton always want give us darksystem team he give us darksystem and let we losetrick,Negatif
"i play this game many years now this matchmaking system is a trash, i up mythic immortal, but i play 1500 games in solo, and after game give in my team low myth, and in enemy team ppl with 500 stars, what is this??? now i delete this game cuz its impossible, do something",Negatif
Ridiculously imbalanced game. Full of cheats. Poor after sales. Waste of space.,Negatif
"I'm so disappointed when my rank legend IV all my ally is negative player, lowskill it's so unfair the match making in solo player now my rank is epic.",Negatif
"Latency, has always latency, poor connection",Negatif
dark system exist!,Negatif
hey um moontoon I think there might be a lot of problems with your game BC now this end season is I can't assess my own account pls fix this thank you,Negatif
"I’ve played almost 200 ranked matches in Mobile Legends and the matchmaking is extremely frustrating. When I reached Mythic 49 stars, it suddenly became almost impossible to win. My teammates often play like beginners with poor picks and no map awareness, while the enemy team looks perfectly coordinated. It doesn’t feel balanced at all. Ranking should be based on skill, not luck with teammates. Please improve the matchmaking system because right now it makes the ranked experience very unfair.",Negatif
Uninstall app due to toxic games and unbalanced matches. The dark system existed in this game. It wouldn't help everyone.,Negatif
"lagging, stutter, team with unstable connections, worst experience ever",Negatif
tell me why the game says that im lagging when im literally in front of my wifi and i have 5g fix your game moonton,Negatif
"I like this game and I've been playing it for years but the lagging and terrible matchmaking system has messed up my gameplay so much with 14x defeats. Pls fix these errors or it's goodbye forever, there's still LOL. edit: after reinstalling,.it begins to lag like crazy. and makes my matches look pathetic, guess I'm uninstalling again for the next 10 years.",Negatif
your matchmaking is so unfair you do nothing to fix it,Negatif
could not copy dota. worst matchmaking in history of gaming mark my word . don't download,Negatif
"matchmaking sux ui ui, nice champ designs but the matchmaking is really horrendous. when i win i feel like it was preordained by the quality of players on my team vs the enemy and vice versa.",Negatif
TRASH MATCHMAKING,Negatif
"matchmaking still not fair, and forcing some bad player accounts to be matched by good players!!!!!!!???!",Negatif
Moonton scammer,Negatif
"Simply fed up with this matchmaking. Giving me legend teammates when I'm in glory.Afk teammates, low credit score teammates, low wr teammates",Negatif
The matchmaking is so unfair I would lose 10 or 10+ if I win a math two to three times it's so unfair after I win only two or three match montoon gave me a dark system ally and a beast enemies super unfair,Negatif
has the potential to become a good game but the matchmaking is making it harder and harder to love the game one good match the next match you get paired when the most brain dead teamate 5 times in a row.,Negatif
"It's so lag and the match is imbalanced wag kayo mag laro dahil nakakaputang ina ang game nato keber glory tapos yung mga kasama ko mythic 12-13-14 stars inang yan tapos sa kalaban immo ano yung moonton alam monakaka bwisit ka, bwisiiiiitttt!",Negatif
the matchmaking is become worst and no improvement at all. developer only focus on new skin and hero but nothing to improve on the matchmaking. you will be team with the bot all the time and give you loose streak. from mythic go to legend 4 within a day is totally unacceptable. report is only a report but no action taken. developer only target to get money from diamond. new skin and new hero is totally rubbish. developer is just a poor company. money scraper,Negatif
il give this a 1 star bcz of the toxic hanabi fans force lore change abt hayabusa and kagura and hanabi and giving us ai teammates,Negatif
"garbage matchmaking, like literally holy. You'll always get team up with garbage players even in high rank.",Negatif
"I hope the devs reach these kinds of reviews, we want Kagura's old lore back. So what if Hanabi is pitied? Isn't it supposed to be expected when she's literally in a one-sided crush? I want Hayagura back and so is Kagura's Seimei being a master of yin and yang and not just a mere craftsman, what kind of change is that? What about their couple skin? Childhood sweethearts? Kagura deserved better even if there's a new skin, us kagura users won't shut up about this issue. Consider changing her lore",Negatif
"As a Kagura user you can't just make her a side character when its her story in the first place. Going with the fan service instead of the story you devs planned for her are just pathetic. This is what Greeds they talked about in the bible. Just because many people pitied Hanabi you choose to erased all Kagura's lore and make her a weak hero? While Hanabi here having a new hero that make her shines even more brightly and have a title ""Sensei"" while you can't even promote Kagura even TWICE IN CN",Negatif
"1 star. The matchmaking in this game is absolutely terrible. Every match feels completely unbalanced. You constantly get teammates who have no idea what they are doing, while the enemy team plays like a coordinated squad. It feels less like a competitive game and more like a coin flip. Skill barely matters when the system keeps putting you with players who don't understand basic mechanics. I don't recommend this game!!!. Having played this game for almost 3 years now, and it's terrible.",Negatif
"I don't even care bout the ship anymore, I want Kagura's story back. You can't just put het aside when its supposed to be HER OWN story. You make a story for her and what? Let it taken away by some girl that people pitied over? Its supposed to be Hayagura in the first place, you knew that. You can't just also delete Kagura's entire background, tf you mean that the umbrella of hers are just now a mere craftsman?? Even her clan is gone. Im not stopping till I get her original lore back.",Negatif
"I honestly just want Hayagura back ,tbh ever since Hayagura disappeared Kagura have been downgrade UNTIL NOW. Like what do you mean that just because of a ship and the fans hatred towards Kagura that you need to change herlore entirely? Removing her powerful family and clan, turning her umbrella seimei a master od yin and yang to a craftsman? What has gotten to this devs istg. Despite have couple summer skin you still change their love interest? What a mess, I want Kagura's original Identity.😕",Negatif
poor matchmaking,Negatif
Imbalance teammates,Negatif
"Matching system in rank games are not competitive, even in high ranks you would teamed up with the system's ai that would result to your loose streak. Such a waste of time playing rank game when you can't compete based on your game skills and knowledge",Negatif
stupid match making,Negatif
my game's been so buggy,Negatif
"The matchmaking system has seriously ruined the experience of playing Mobile Legends. Instead of creating balanced and competitive matches, it often pairs players with teammates who lack basic teamwork or game sense, which makes ranked matches feel unfair and extremely frustrating. A game that’s supposed to be fun and competitive now feels stressful and draining. I hope the developers improve the matchmaking algorithm to prioritize player skill balance and teamwork quality. It sucks.",Negatif
worst game always worst team + toxic can't even play with happiness,Negatif
"being trolled by sabah player but yet, im the one that got reported? ugly system. really realy ugly game's ever",Negatif
please fix the match up,Negatif
worst matchmaking,Negatif
"unfair matchmaking, expensive skins (including the ugly ones), promotes verbal abuse or inappropriate calls (not advisable for children), rude players.",Negatif
many dark system,Negatif
Imbalaced matchmaking and trash role 1 role choose should be applied or it will be trash with no end.,Negatif
"useless and the most worst game ever, make we stress. lol. pilih kash punya game, puik",Negatif
"this game unfair 1star road to immo, and now moonton decided to give me a bad teammate I always carry them",Negatif
"The game is not fun to play. Your hidden dark system is always bothering me. When I play games, For example, if you play ten games, the dark system will appear in about six of them.Some players experience this frequently.",Negatif
not afk but still punished hahahaha,Negatif
This is a freaking game when i started this game why you supposed to be getting cheap and toxic player this game is so attitude lol compare Honor Of King i like that effect what the heck moonton your so feeling good relaxing?? this game was so ignoring some losetrick lol whatever but this is so arrogant,Negatif
unbalanced matchmaking and darksytem random malalaos kana ng hok kung ayw mo ayusin matchmaking mo,Negatif
"Make your match making more fair, don't even team up with someone noob vs a group of good teams!!!",Negatif
"I have spent a significant amount of time playing Moonton’s games, particularly Mobile Legends: Bang Bang. While the gameplay mechanics and hero designs are impressive, the core experience is being destroyed by a matchmaking algorithm that many players refer to as the ""Dark System."" Instead of feeling like a competitive esport, the game often feels like a pre-determined social experiment. The Issue: Engineered Losing Streaks The biggest frustration lies in the ""forced 50% win rate"" logic.",Negatif
Always defeat,Negatif
"This is just a bad game.I play many mach but I reach to Indonesia sever my ping is 200+ .How can I play so I gave 1 star this game please don't play this game .I doesn't like anymore why Indo sever I'm in Myanmar why? So never play this game.Please do not play this game pleaseee, and more everytime lag in game very much so badly",Negatif
"I recharge 150 diamonds on MlBB app, it got deducted directly but the diamonds doesn't appear. Can anyone help me?",Netral
"Great All heros are Good and matching making feels fresh and great – but the problem for me is that I can't change Username because I used the rename card, which I wish that Moonton see my comment and grant us all Renames Card not paying with diamonds – replace the Renames with BP points Because some of us can't afford Diamonds Moonton team For eveyone sake 🚻 – thank you for readying and Keep Bringing up good ideas for the game !.",Netral
"please, improve your security system, moonton.",Netral
"It's fun, but you'll be assigned with people who want to lose on purpose once you get a win streak above five! Gold doesn't mean anything once you get every hero. I recommend it. It's not pay to win. Funny thing, I get worse players when I buy the battle pass!",Netral
"honestly, could've been better if the bloodlust axe wasn't removed,fighters are struggling against,damge and sustain heroes,like freya,thamuz,sun,should be added back and nurf,war axe,because bloodlust axe is added back...",Netral
"I’m giving this game 4 stars because there are many things it does really well. The skins are amazing, the skill effects look awesome, and the UI system is smooth and easy to use. The heroes are also very well designed and fun to play, which keeps the game exciting. However, the matchmaking still needs improvement. Sometimes the teams feel very unbalanced, with players of very different skill levels placed together, which can make matches frustrating.",Netral
"this game is so good,the heroes are storngs and the skins are beautiful ,the quality ,the game,the map,all is so good ,the resason why I rate it 4 because it kinda copy honor of Kings ,but i prefer this than the honor Kings,that's all ty ,you should try this game I'm telling u",Netral
It's a good way to distract your mind. when there is too much going on. something I enjoy 😜. Be careful of aggressive players who will scold you non stop if you're not a team player.,Netral
I'm begging you please make Hanabi and Hanzo lovers we deserve an enemies to lovers story,Netral
"The game overall is great, events, characters,lore and the skins are aspects I enjoyed in this game. But the matchmaking could use some work,sure there have been times moontoon tried to fix it but I only helped a little bit. almost everytime I play ranked my allies would get lanes they don't know how to use which makes me mad because they often are the ones that perform the worst.",Netral
"this game are so fun! but I don't like when my team are noob or don't know how to play, whatever it's,I give 4 stars for this game bc of the team",Netral
love it playe when I'm bored and have freetime but i hate losetreak,Netral
it is good but in Epic rank there is noob your team,Netral
nice game but I suggest you to add online friends widget so we can see from home screen about who's online just add widget function like PUBG mobile,Netral
good game but please banned every player who always feed in game and dont contribute or always lose on their history,Netral
"This game is good but sometimes the game will crash. Like right now, I'm in the middle of my game and suddenly I can't move because it keeps on reconnecting which is weird 'cause my wifi is good 5 bars and it wouldn't budge. Please fix this. My teammates will think that I intentionally abandon the game. edit: I keep on restarting the game but still didn't work. My internet connection is strong so I don't know what's the problem.",Netral
"I just want to give a advice to all player playing MLBB If there a link to clam skin or make a offer lowest diamond to buy the skin never ever click the link & log in your account , this is the trick to hack your account .",Netral
"so High graphics game.but this game a on esu, that is a mobile Storage and smoothnes.",Netral
the Game Is Well made and Fun But Having A bad Team in ranks is always A problem and it genuinely doesn't help beginners that just started the game and the people who are actually grinding since one awful teammate can Sabotage your match already please add more ranked options,Netral
fun Game And i really like this gam ri can play it offline but when i start playing i dont have hero that much i only get the hero from rewards.but still like it!,Netral
I love this game but there are many dark systems and people trolling,Netral
"The game is amazing, I recently updated and I love how they've fixed the lag of the waiting lobby, but I wish they could do something about the character selection lag . Over all, it's still my second most favorite game",Netral
"I played this game almost everyday.. But right now, it feels empty, since my Moonton account got hacked. I really miss it, I already spent a lot, I got Xborg Metro Zero, Granger M7, and Zilong Epic, Kagura special and summer skin, and a lot more.. It's been a nice day, if you see my account, ThaciXPro with that skin, that used to be mine.. And now, it's just a memory, I try everything, but nothing works.. This game is good though.. And now, goodbye, my memory..",Netral
it is. good game but sometimes it is bad when someone band u r fav characters.,Netral
A really good game but they really need to fix the dark matchmaking (darksystem) but still it's good.,Netral
The game is great. But all heroes not same stats of their HP & ATK that cause more damage receive of other hero. the map is too small to fight solo make it bit large.,Netral
internet problem but good,Netral
Keep banning cheater please...Server are way more stable than previous version..,Netral
"I been playing mlbb since 2018 so that means it is really good and enjoyable game for both kids and adult, But some of I don't like in MLBB is Matchmaking because I get 70% of the newbie. and I rarely recommend that the enemy and teammates is same me like for example I have 8k+ matches so that means my enemy and teammates also have 6k to 10k, that is what I want.",Netral
"pls, give skin for kaleaaaaaaaaa",Netral
"good game, but match selection is really bad. You want to improve your skills with strong players but they give weak players instead",Netral
Average Mobile game like other,Netral
"I love this game but moonton hasn't fixed where I can play with my friends that are in different countries,I hope they fix this where we can play.",Netral
Make it a 6v6,Netral
the experience is good all is good but the only that I hate is when player/enemy playing unfair and also they are doing a bad decision pls update this pls revamp bad heroes and rebuff op heroes,Netral
"“Please fix Mythic rank matchmaking. In solo queue, many players in Mythic lack basic skills. They don’t contribute, keep feeding, and show no map awareness. How did they even reach Mythic?",Netral
"Dear Moonton, since this game is very popular. among players started hating on the Download recourses cuz it makes the phone go low storage please fix this, there's a lot of players that doesn't have good phones like that. please change the download recourses hope you understand..",Netral
good game I play it 24/7 but we are facing small issues which is battle making in ranked i always get weak team and lose against strong ones and i find it unfair actually but overall it's a cool game,Netral
this game is actually very awesome and really fun but when I reach mythical honor is literally give me dark system players like legend or epic zin but I really love this game too and I hate it too and please give me more good players because these are dark system players👍😞😓 and please moonton please give me some good players because I'm literally in mythical honor.,Netral
"ts game is fun and all but there’s one thing i really hate and i hope you guys can fix it, it’s not about the dark system or bad teammates it's about playing solo i'm literally facing enemies who are teaming up together while i'm solo queueing like seriously that’s so unfair you guys should make solo players face other solo players not full teams, when they’re teamed up they already have plans and coordination so ofc they have an advantage so pls fix ts it really ruins the solo experience 😭🙏🥀",Netral
would recommend but matchmaking is kinda awful i mean you mvp one game and moonton just give you godly amount of stupid teamate,Netral
"Interesting game, but its unfair, when the opponents are using skins. cause many people, play this game for only fun. On the other hand, this game company wants us to invest money, to buy skins to enjoy the game. thats not fair btw 🙂👍",Netral
"The Game is good but the penalties seem to be small for a competitive game like this. Can you please stack the penalties of a player if they have multiple violations? I know this game is only meant for enjoyment but I'm not happy if some players deliberately throw the game and make me throw my phone or quit the game entirely, so please if you read this, discuss this in your meeting 👍",Netral
i love mlbb but I'll hope I got luckkkkkkkyyyyy,Netral
An appeal should be validated by Moonton people not by those who reported as this is not fair for certain situations. Update 2024-02-28 I am reiterating this comment as I have been penalized twice lately for circumstances that is not under my control. 1st is teammates describing my lack of participation. How can I participate when I am the first to die in most team clashes in that match for tanking where no one else wont. 2nd is mobile network issues. Improve ur report validation please.,Netral
"Very very awesome and fun to play, but its a bit complicated to remember the fragments, coins, cards, heroes lanes and much more, they have many events in this game",Netral
"The game improved a lot in all areas, except for the bots contact support which is very annoying to deal without a real live agent.",Netral
"my first MOBA game, it's not that bad I guess I'm just not sure what I'm doing and how the presets work but so far I've been getting MVPs in all of my matches, not sure what's up with that",Netral
